Playlist ID|Trade Name|Year|Module|Title|Description|Video Link	
playlist?list=PL82K0I4-0q_w7sNn52LkxkLidHngjwAfS|Electrician|Year 1|Module 7|7.1 B.I.S Symbols (1)|Learn the official Bureau of Indian Standards (B.I.S.) symbols used in electrical blueprints and circuit diagrams, tailored for 1st-year students in the Electrician Trade.|https://youtu.be/ZpJId683iV4?si=gp4x646ln4S8B2zI
playlist?list=PL82K0I4-0q_w7sNn52LkxkLidHngjwAfS|Electrician|Year 1|Module 7|7.1 Wiring accessories,IE Rules (2)|Learn about essential wiring accessories and critical Indian Electricity (I.E.) Rules for safe installations, tailored for 1st-year students in the Electrician Trade.|https://youtu.be/utzoOasH6J4?si=NXVw5uM4pHRcFvZ8
playlist?list=PL82K0I4-0q_w7sNn52LkxkLidHngjwAfS|Electrician|Year 1|Module 7|7.1 CB,MCB,MCCB (3)|Learn the functions, differences, and applications of circuit breakers, MCBs, and MCCBs, tailored for 1st-year students in the Electrician Trade.|https://youtu.be/92KSBJUVEE8?si=lYXGcpLHZxrgscs0
playlist?list=PL82K0I4-0q_w7sNn52LkxkLidHngjwAfS|Electrician|Year 1|Module 7|7.1 ELCB (4)|Learn the working principles, safety features, and installation of Earth Leakage Circuit Breakers (ELCB), tailored for 1st-year students in the Electrician Trade.|https://youtu.be/wp_T_HW2VDs?si=Wq-XwzKRExrjDXuj
playlist?list=PL82K0I4-0q_w7sNn52LkxkLidHngjwAfS|Electrician|Year 1|Module 7|7.1 Fuses,Relays (5)|Understand the operation, types, and protection roles of fuses and relays in electrical circuits, tailored for 1st-year students in the Electrician Trade.|https://youtu.be/VlD8eWApQ90?si=8tzjw4hmiBAYhXbp
playlist?list=PL82K0I4-0q_w7sNn52LkxkLidHngjwAfS|Electrician|Year 1|Module 7|7.1 Domestic Wiring (6)|Master the layout planning, wiring methods, and practical installation steps for domestic building wiring, tailored for 1st-year students in the Electrician Trade.|https://youtu.be/vO_GPVScnM4?si=B6NLYRmaQYdufubI
playlist?list=PL82K0I4-0q_w7sNn52LkxkLidHngjwAfS|Electrician|Year 1|Module 7|7.2 Principle of laying out of domestic wiring (1)|Master the layout planning, load distribution, and safety guidelines for installing domestic wiring, tailored for 1st-year students in the Electrician Trade.|https://youtu.be/zTh_RxTzMlA?si=cpFEHcKlPIf1ck0o
playlist?list=PL82K0I4-0q_w7sNn52LkxkLidHngjwAfS|Electrician|Year 1|Module 7|7.2 Metal conduit pipe (2)|Learn the installation procedures, bending techniques, and grounding rules for heavy-gauge metal conduit pipes, tailored for 1st-year students in the Electrician Trade.|https://youtu.be/WGwfpFG660E?si=8oPTimijBRy1YpMJ
playlist?list=PL82K0I4-0q_w7sNn52LkxkLidHngjwAfS|Electrician|Year 1|Module 7|7.3 Basic Electrical Wiring (1)|Master the core concepts, connection methods, and circuit setups for basic electrical wiring, tailored for 1st-year students in the Electrician Trade.|https://youtu.be/5Pwh_Hdaoc4?si=IDEIUSLjCoKukeJj
playlist?list=PL82K0I4-0q_w7sNn52LkxkLidHngjwAfS|Electrician|Year 1|Module 7|7.3 Conduit Wiring (2)|Learn the methods, fittings, and step-by-step procedures for installing surface and concealed conduit wiring, tailored for 1st-year students in the Electrician Trade.|https://youtu.be/UWS8u3SUVjc?si=Fr8EWrl1LEbrqSZ4
playlist?list=PL82K0I4-0q_w7sNn52LkxkLidHngjwAfS|Electrician|Year 1|Module 7|7.3 PVC Channel (3)|Learn the methods, fittings, and layout planning for installing PVC channel (casing-capping) wiring systems, tailored for 1st-year students in the Electrician Trade.|https://youtu.be/R1co4kS0FPE?si=4O7o1-0ED1bZ0GOE
playlist?list=PL82K0I4-0q_w7sNn52LkxkLidHngjwAfS|Electrician|Year 1|Module 7|7.3 Power Wiring (4)|Learn the installation standards, cable sizing, and safety layouts for heavy-duty power wiring circuits, tailored for 1st-year students in the Electrician Trade|https://youtu.be/QFz3ZL7iRL0?si=JTdUMs-Q9Nroi6dJ
playlist?list=PL82K0I4-0q_w7sNn52LkxkLidHngjwAfS|Electrician|Year 1|Module 7|7.4 Special Wiring Ciruit|Learn the connections, truth tables, and applications of special wiring circuits like staircase, tunnel, and corridor wiring, tailored for 1st-year students in the Electrician Trade.|https://youtu.be/KW6PxKg84vU?si=B1Py5MHjt5vQCyl7
